employee_job_position_id,employee_id,job_position_id,salary,start_date,end_date
1,1,19,,2012-04-01,2015-12-31
2,2,33,,2012-06-21,
3,3,49,,2017-04-30,
4,4,7,,2014-01-25,
5,5,7,,2014-02-22,
6,6,3,,2014-03-04,
7,7,45,,2010-11-18,
8,8,10,,2015-03-28,
9,9,17,,2018-04-25,
10,10,14,,2010-11-18,
11,11,46,,2013-04-15,
12,12,30,,2016-08-06,
13,13,38,,2011-04-27,
14,14,9,,2014-12-25,
15,15,19,,2010-10-06,
16,16,45,,2013-08-25,
17,17,38,,2015-05-05,
18,18,17,,2017-02-08,
19,19,1,,2018-04-18,
20,20,50,,2018-02-27,
21,21,45,,2014-11-03,
22,22,15,,2011-12-06,
23,23,17,,2010-02-15,
24,24,5,,2012-11-14,
25,25,50,,2015-02-14,
26,26,18,,2017-06-14,
27,27,49,,2017-10-07,
28,28,3,,2012-07-19,
29,29,27,,2016-05-24,
30,30,43,,2013-11-07,
31,31,8,,2011-07-04,
32,32,27,,2014-07-13,
33,33,20,,2018-01-19,
34,34,17,,2013-10-08,
35,35,34,,2010-06-17,
36,36,43,,2012-08-27,
37,37,41,,2012-05-17,
38,38,41,,2014-07-12,
39,39,50,,2011-03-25,
40,40,4,,2017-12-04,
41,41,5,,2014-05-26,
42,42,30,,2016-01-02,
43,43,40,,2013-07-24,
44,44,31,,2015-05-11,
45,45,25,0,2018-05-10,2019-06-30
46,46,44,,2012-01-15,
47,47,47,,2018-03-25,
48,48,31,,2011-04-28,
49,49,33,,2017-08-31,
50,50,13,,2018-02-10,
51,51,39,,2010-12-09,
52,52,26,,2012-01-15,
53,53,41,,2018-05-07,
54,54,21,,2015-10-31,
55,55,5,,2010-12-08,
56,56,18,,2018-02-09,
57,57,10,,2011-11-30,
58,58,42,,2011-07-01,
59,59,23,,2016-02-24,
60,60,25,,2012-07-04,
61,61,48,,2014-05-16,
62,62,5,,2017-05-29,
63,63,41,,2015-05-13,
64,64,19,,2018-07-28,
65,65,45,,2015-05-20,
66,66,19,,2012-03-04,
67,67,5,,2015-06-05,
68,68,21,,2010-01-30,
69,69,48,,2011-10-12,
70,70,15,,2012-04-01,
71,71,34,,2011-07-06,
72,72,31,,2016-09-05,
73,73,37,,2011-07-11,
74,74,48,,2014-01-11,
75,75,27,,2014-08-09,
76,76,26,,2014-10-07,
77,77,35,,2018-04-29,
78,78,22,,2014-01-15,
79,79,43,,2015-01-08,
80,80,12,,2010-06-18,
81,81,17,,2011-04-27,
82,82,9,,2018-03-30,
83,83,10,,2018-10-10,
84,84,37,,2013-01-06,
85,85,32,,2011-03-22,
86,86,9,,2016-02-27,
87,87,17,,2013-05-17,
88,88,49,,2013-03-07,
89,89,8,,2013-06-27,
90,90,35,,2017-10-14,
91,91,12,,2016-05-14,
92,92,31,,2014-05-13,
93,93,15,,2013-02-20,
94,94,39,,2014-08-10,
95,95,32,,2018-04-10,
96,96,28,,2012-05-01,
97,97,18,,2017-03-12,
98,98,13,,2016-09-23,
99,99,45,,2012-08-31,
100,100,44,,2010-02-27,
101,101,44,,2012-12-29,
102,102,19,,2010-09-21,
103,103,32,,2010-07-18,
104,104,19,,2011-02-20,
105,105,48,,2016-05-05,
106,106,38,,2010-03-25,
107,107,39,,2016-11-25,
108,108,42,0,2011-04-28,2019-12-23
109,109,30,,2014-10-27,
110,110,23,,2018-01-18,
111,111,1,,2016-01-27,
112,112,42,,2017-09-25,
113,113,20,,2011-06-08,
114,114,45,,2015-06-30,
115,115,47,,2015-07-23,
