travel_id,date,start_time_actual,end_time_actual,route_id,train_id
1,2016-01-01,06:00:00.0000000,07:30:00.0000000,5,1
2,2016-01-01,06:00:00.0000000,07:30:00.0000000,12,2
3,2016-01-01,08:00:00.0000000,09:30:00.0000000,19,2
4,2016-01-01,08:00:00.0000000,09:30:00.0000000,26,1
5,2016-01-01,10:00:00.0000000,11:30:00.0000000,33,1
6,2016-01-01,10:00:00.0000000,11:30:00.0000000,40,2
7,2016-01-01,12:00:00.0000000,13:30:00.0000000,47,2
8,2016-01-01,12:00:00.0000000,13:30:00.0000000,54,1
9,2016-01-01,14:00:00.0000000,15:30:00.0000000,61,1
10,2016-01-01,14:00:00.0000000,15:30:00.0000000,68,2
11,2016-01-01,18:00:00.0000000,19:30:00.0000000,75,2
12,2016-01-01,18:00:00.0000000,19:30:00.0000000,82,1
13,2016-01-01,20:00:00.0000000,21:30:00.0000000,89,1
14,2016-01-01,20:00:00.0000000,21:30:00.0000000,96,2
15,2016-01-01,22:00:00.0000000,23:30:00.0000000,103,2
16,2016-01-01,22:00:00.0000000,23:30:00.0000000,110,1
17,2016-01-02,06:00:00.0000000,07:30:00.0000000,6,1
18,2016-01-02,06:00:00.0000000,07:30:00.0000000,13,2
19,2016-01-02,08:00:00.0000000,09:30:00.0000000,20,2
20,2016-01-02,08:00:00.0000000,09:30:00.0000000,27,1
21,2016-01-02,10:00:00.0000000,11:30:00.0000000,34,1
22,2016-01-02,10:00:00.0000000,11:30:00.0000000,41,2
23,2016-01-02,12:00:00.0000000,13:30:00.0000000,48,2
24,2016-01-02,12:00:00.0000000,13:30:00.0000000,55,1
25,2016-01-02,14:00:00.0000000,15:30:00.0000000,62,1
26,2016-01-02,14:00:00.0000000,15:30:00.0000000,69,2
27,2016-01-02,18:00:00.0000000,19:30:00.0000000,76,2
28,2016-01-02,18:00:00.0000000,19:30:00.0000000,83,1
29,2016-01-02,20:00:00.0000000,21:30:00.0000000,90,1
30,2016-01-02,20:00:00.0000000,21:30:00.0000000,97,2
31,2016-01-02,22:00:00.0000000,23:30:00.0000000,104,2
32,2016-01-02,22:00:00.0000000,23:30:00.0000000,111,1
33,2016-01-03,06:00:00.0000000,07:30:00.0000000,7,1
34,2016-01-03,06:00:00.0000000,07:30:00.0000000,14,2
35,2016-01-03,08:00:00.0000000,09:30:00.0000000,21,2
36,2016-01-03,08:00:00.0000000,09:30:00.0000000,28,1
37,2016-01-03,10:00:00.0000000,11:30:00.0000000,35,1
38,2016-01-03,10:00:00.0000000,11:30:00.0000000,42,2
39,2016-01-03,12:00:00.0000000,13:30:00.0000000,49,2
40,2016-01-03,12:00:00.0000000,13:30:00.0000000,56,1
41,2016-01-03,14:00:00.0000000,15:30:00.0000000,63,1
42,2016-01-03,14:00:00.0000000,15:30:00.0000000,70,2
43,2016-01-03,18:00:00.0000000,19:30:00.0000000,77,2
44,2016-01-03,18:00:00.0000000,19:30:00.0000000,84,1
45,2016-01-03,20:00:00.0000000,21:30:00.0000000,91,1
46,2016-01-03,20:00:00.0000000,21:30:00.0000000,98,2
47,2016-01-03,22:00:00.0000000,23:30:00.0000000,105,2
48,2016-01-03,22:00:00.0000000,23:30:00.0000000,112,1
