travel_id,employee_id
1,2
1,21
1,50
1,54
1,55
2,18
2,26
2,56
2,59
2,64
3,19
3,35
3,73
3,86
3,92
4,40
4,65
4,93
4,95
4,97
5,46
5,66
5,98
5,103
5,104
6,58
6,77
6,105
6,106
6,109
7,69
7,90
7,112
7,116
7,119
8,81
8,120
8,121
8,126
8,135
9,82
9,136
9,137
9,139
9,141
10,87
10,147
10,148
10,149
10,151
11,50
11,54
11,55
11,107
11,155
12,56
12,59
12,64
12,123
12,172
13,73
13,86
13,92
13,124
13,176
14,93
14,95
14,97
14,129
14,191
15,98
15,103
15,104
15,177
15,199
16,2
16,21
16,105
16,106
16,109
17,18
17,26
17,112
17,116
17,119
18,19
18,35
18,121
18,126
18,135
19,40
19,65
19,136
19,137
19,141
20,46
20,66
20,147
20,148
20,149
21,50
21,54
21,55
21,58
21,77
22,56
22,59
22,64
22,69
22,90
23,73
23,81
23,86
23,92
23,120
24,82
24,93
24,95
24,97
24,139
25,87
25,98
25,103
25,104
25,151
26,105
26,106
26,107
26,109
26,155
27,112
27,116
27,119
27,123
27,172
28,121
28,124
28,126
28,135
28,176
29,129
29,136
29,137
29,141
29,191
30,147
30,148
30,149
30,177
30,199
31,2
31,21
31,50
31,54
31,55
32,18
32,26
32,56
32,59
32,64
33,19
33,35
33,73
33,86
33,92
34,40
34,65
34,93
34,95
34,97
35,46
35,66
35,98
35,103
35,104
36,58
36,77
36,105
36,106
36,109
37,69
37,90
37,112
37,116
37,119
38,81
38,120
38,121
38,126
38,135
39,82
39,136
39,137
39,139
39,141
40,87
40,147
40,148
40,149
40,151
41,50
41,54
41,55
41,107
41,155
42,56
42,59
42,64
42,123
42,172
43,73
43,86
43,92
43,124
43,176
44,93
44,95
44,97
44,129
44,191
45,98
45,103
45,104
45,177
45,199
46,2
46,21
46,105
46,106
46,109
47,18
47,26
47,112
47,116
47,119
48,19
48,35
48,121
48,126
48,135
49,40
49,65
49,136
49,137
49,141
50,46
50,66
50,147
50,148
50,149
51,50
51,54
51,55
51,58
51,77
52,56
52,59
52,64
52,69
52,90
53,73
53,81
53,86
53,92
53,120
54,82
54,93
54,95
54,97
54,139
55,87
55,98
55,103
55,104
55,151
56,105
56,106
56,107
56,109
56,155
57,112
57,116
57,119
57,123
57,172
58,121
58,124
58,126
58,135
58,176
59,129
59,136
59,137
59,141
59,191
60,147
60,148
60,149
60,177
60,199
61,2
61,21
61,50
61,54
61,55
62,18
62,26
62,56
62,59
62,64
63,19
63,35
63,73
63,86
63,92
64,40
64,65
64,93
64,95
64,97
65,46
65,66
65,98
65,103
65,104
66,58
66,77
66,105
66,106
66,109
67,69
67,90
67,112
67,116
67,119
68,81
68,120
68,121
68,126
68,135
69,82
69,136
69,137
69,139
69,141
70,87
70,147
70,148
70,149
70,151
71,50
71,54
71,55
71,107
71,155
72,56
72,59
72,64
72,123
72,172
73,73
73,86
73,92
73,124
73,176
74,93
74,95
74,97
74,129
74,191
75,98
