wagon_id,travel_id,order_number
2,1,1
5,1,2
7,1,3
2,2,1
6,2,2
8,2,3
3,3,1
4,3,2
8,3,3
3,4,1
5,4,2
8,4,3
1,5,1
5,5,2
7,5,3
2,6,1
6,6,2
8,6,3
2,7,1
6,7,2
7,7,3
3,8,1
5,8,2
7,8,3
3,9,1
5,9,2
7,9,3
2,10,1
6,10,2
8,10,3
3,11,1
6,11,2
7,11,3
3,12,1
4,12,2
8,12,3
3,13,1
4,13,2
7,13,3
3,14,1
5,14,2
8,14,3
1,15,1
6,15,2
8,15,3
1,16,1
4,16,2
7,16,3
2,17,1
4,17,2
8,17,3
3,18,1
6,18,2
7,18,3
2,19,1
6,19,2
7,19,3
2,20,1
5,20,2
7,20,3
2,21,1
4,21,2
8,21,3
3,22,1
5,22,2
7,22,3
3,23,1
5,23,2
8,23,3
1,24,1
4,24,2
8,24,3
2,25,1
5,25,2
7,25,3
3,26,1
6,26,2
7,26,3
3,27,1
5,27,2
7,27,3
2,28,1
5,28,2
8,28,3
2,29,1
5,29,2
8,29,3
2,30,1
5,30,2
7,30,3
2,31,1
6,31,2
8,31,3
1,32,1
5,32,2
8,32,3
2,33,1
4,33,2
8,33,3
2,34,1
5,34,2
8,34,3
2,35,1
5,35,2
7,35,3
2,36,1
6,36,2
8,36,3
2,37,1
6,37,2
7,37,3
2,38,1
6,38,2
7,38,3
2,39,1
4,39,2
8,39,3
2,40,1
5,40,2
8,40,3
2,41,1
4,41,2
8,41,3
1,42,1
5,42,2
7,42,3
1,43,1
5,43,2
7,43,3
1,44,1
6,44,2
7,44,3
2,45,1
5,45,2
8,45,3
3,46,1
5,46,2
7,46,3
1,47,1
5,47,2
8,47,3
1,48,1
4,48,2
7,48,3
3,49,1
5,49,2
8,49,3
1,50,1
4,50,2
8,50,3
2,51,1
6,51,2
7,51,3
1,52,1
5,52,2
7,52,3
2,53,1
6,53,2
8,53,3
2,54,1
6,54,2
7,54,3
2,55,1
4,55,2
8,55,3
1,56,1
6,56,2
7,56,3
